,composition,Formation Energy (eV/atom)
525,AcIrPt,-0.6674
526,Ac2Ir2Rh2,-0.54127
527,Ac4Si4Ir4,-0.83639
528,Ac2Si4Ir2,-0.84779
529,AcSmIr,-0.51114
530,Ac4Sn4Ir4,-0.63906
531,Ac4Sn8Ir4,-0.54954
532,SrAcIr,-0.38428
533,AcYbIr,-0.54592
534,Ac4Zn4Ir4,-0.51018
535,Ac2Zn4Ir2,-0.43789
536,Ac2Ir4,-0.501
537,AcMg2Ir2,-0.47281
538,AcMg5Ir2,-0.35381
539,AcNb2Ir2,-0.4261
540,Ac2Pm4Ir4,-0.5795
541,Ac2Sb4Ir4,-0.53944
542,AcSi2Ir2,-0.88421
543,Ac2Sn4Ir4,-0.50814
544,SrAcIr4,-0.40972
545,KAcO2,-2.71127
546,KAcPt4,-0.7125
547,KAcS2,-1.87523
548,K2Ac2Se4,-1.71336
549,KAcTe2,-1.37836
550,AcLaOs,-0.05245
551,AcLaPt4,-1.052
552,AcLaRh4,-0.63651
553,AcLaRu,-0.15361
554,Ac2La6Se12,-2.03565
555,Li4Ac4Pb4,-0.48857
556,Li2Ac2Pd2,-0.54873
557,Li4Ac4Pd8,-0.67921
558,LiAcPt4,-0.8265
559,Li2Ac2Rh2,-0.47623
560,LiAcSb,-0.69374
561,Li2Ac2Sb4,-0.74382
562,Li4Ac4Si8,-0.52698
563,Li4Ac4Sn4,-0.56642
564,Li4Ac4Tl4,-0.33307
565,LiAcTl2,-0.32682
566,Li4Ac2Pb4,-0.412
567,Li4Ac2Sn4,-0.4796
568,Li6Ac2Pd4,-0.53158
569,Li4AcPd2,-0.44953
570,Li8Ac2Pt4,-0.6338
571,Ac4Lu4O12,-3.68458
572,Ac2Mg2,-0.07966
573,Ac2Mg2Pb2,-0.34243
574,Ac6Mg6Pd6,-0.62135
575,Ac4Mg4Pt4,-0.82198
576,Ac2Mg2Rh2,-0.52074
577,Ac2Mg2Sn2,-0.49083
578,AcMgTl,-0.27888
579,Ac3Mg3Zn3,-0.22734
580,AcMg12,-0.01086
581,Ac2Mg4,-0.12888
582,Ac2Mg4Ni2,-0.19105
583,Ac2Mg4Pd2,-0.49222
584,AcMg2Pd2,-0.69319
585,Ac2Mg4Pt2,-0.62182
586,AcMg2Pt2,-0.91276
587,Ac2Mg4Rh2,-0.43503
588,AcMg2Si2,-0.36579
589,AcMg2Sn2,-0.40508
590,Ac2Mg4Tl2,-0.1942
591,AcMg2Tl2,-0.22805
592,Ac2Mg6Sb6,-0.58156
593,Ac2Mg8Sn4,-0.31735
594,AcMg4Zn2,-0.14587
595,AcMg5Rh2,-0.38984
596,AcMg6Tl6,-0.13504
597,AcMg8Zn4,-0.08528
598,Ac2Mn2N6,-0.73397
599,Ac2Mn2P2O2,-1.66762
600,Ac4Mn4O12,-2.37809
601,AcMn2O6,-1.6437
602,AcMoN3,-0.79561
603,Ac2Mo2O8,-1.95861
604,AcMo6S8,-0.94489
605,AcN,-1.13609
606,Ac4Sn4N4O4,-1.50744
607,Ac2N2O8,-1.81574
608,AcPa7N12,-1.59594
609,AcN2,-0.89275
610,Ac4P4N8,-0.9202
611,AcPaN2,-1.37325
612,Ac2Ni2N6,-0.5141
613,AcNpN3,-1.19668
614,AcPuN3,-1.10452
615,AcReN3,-0.68941
616,AcUN3,-1.39984
617,AcWN3,-0.9138
618,Ac2Pa4N8,-1.58223
619,Na2Ac2Pb2,-0.375
620,NaAcPd4,-0.61729
621,NaAcPt4,-0.79039
622,NaAcSi,-0.21729
623,Na2Ac2Si6,-0.34154
624,NaAcSn,-0.37278
625,NaAcTe2,-1.30165
626,NaAcTl2,-0.29334
627,Na3AcPd8,-0.42924
628,Ac2Nb2O8,-3.06804
629,AcNb2O6,-2.93704
630,AcNb2O7,-2.74971
631,Ac2Nd2Si6,-0.6256
