,composition,Formation Energy (eV/atom)
496,Ac2In2Ni2,-0.43437
497,Ac4In4O12,-2.93843
498,Ac4In4Pd4,-0.71808
499,Ac2In2Pd4,-0.77485
500,Ac4In4Pt4,-0.88248
501,AcInPt4,-0.71292
502,AcInSn2,-0.5272
503,Ac2In4,-0.48109
504,Ac2In4Ir2,-0.50496
505,AcMg4In2,-0.21474
506,AcIn2Pd4,-0.69504
507,Ac2In4Rh2,-0.6176
508,AcZn2In2,-0.34288
509,Ac2In6,-0.41461
510,Ac2In8Ni2,-0.36998
511,Ac2In8Pd2,-0.50435
512,AcIn5Ir,-0.32115
513,AcIn5Pt2,-0.58862
514,AcIn5Rh,-0.38965
515,AcIn6Pd4,-0.56972
516,Ac2Ir2,-0.52291
517,Ac2La2Ir2,-0.49563
518,Ac4Mg4Ir4,-0.49996
519,Ac2Mg4Ir2,-0.41695
520,AcNdIr,-0.4546
521,AcNiIr,-0.38816
522,AcNi2Ir,-0.31611
523,Ac2P2Ir2O2,-2.09687
524,AcPIr,-1.11706
525,AcIrPt,-0.62198
526,Ac2Ir2Rh2,-0.55533
527,Ac4Si4Ir4,-0.92353
528,Ac2Si4Ir2,-0.91976
529,AcSmIr,-0.47464
530,Ac4Sn4Ir4,-0.71609
531,Ac4Sn8Ir4,-0.72564
532,SrAcIr,-0.29077
533,AcYbIr,-0.52733
534,Ac4Zn4Ir4,-0.47527
535,Ac2Zn4Ir2,-0.43225
536,Ac2Ir4,-0.4841
537,AcMg2Ir2,-0.43814
538,AcMg5Ir2,-0.35771
539,AcNb2Ir2,-0.4166
540,Ac2Pm4Ir4,-0.57318
541,Ac2Sb4Ir4,-0.6372
542,AcSi2Ir2,-0.99233
543,Ac2Sn4Ir4,-0.64271
544,SrAcIr4,-0.40191
545,KAcO2,-2.90541
546,KAcPt4,-0.6351
547,KAcS2,-2.1126
548,K2Ac2Se4,-2.00429
549,KAcTe2,-1.65517
550,AcLaOs,-0.04243
551,AcLaPt4,-1.02836
552,AcLaRh4,-0.65266
553,AcLaRu,-0.1846
554,Ac2La6Se12,-2.32907
555,Li4Ac4Pb4,-0.52433
556,Li2Ac2Pd2,-0.55312
557,Li4Ac4Pd8,-0.68813
558,LiAcPt4,-0.80488
559,Li2Ac2Rh2,-0.47987
560,LiAcSb,-0.98743
561,Li2Ac2Sb4,-0.92685
562,Li4Ac4Si8,-0.53692
563,Li4Ac4Sn4,-0.67944
564,Li4Ac4Tl4,-0.39096
565,LiAcTl2,-0.34481
566,Li4Ac2Pb4,-0.45533
567,Li4Ac2Sn4,-0.60096
568,Li6Ac2Pd4,-0.50455
569,Li4AcPd2,-0.41937
570,Li8Ac2Pt4,-0.66505
571,Ac4Lu4O12,-4.02905
572,Ac2Mg2,-0.09931
573,Ac2Mg2Pb2,-0.43041
574,Ac6Mg6Pd6,-0.61303
575,Ac4Mg4Pt4,-0.8251
576,Ac2Mg2Rh2,-0.53774
577,Ac2Mg2Sn2,-0.6104
578,AcMgTl,-0.31959
579,Ac3Mg3Zn3,-0.2478
580,AcMg12,0.0113
581,Ac2Mg4,-0.10786
582,Ac2Mg4Ni2,-0.18423
583,Ac2Mg4Pd2,-0.48945
584,AcMg2Pd2,-0.64619
585,Ac2Mg4Pt2,-0.63559
586,AcMg2Pt2,-0.85484
587,Ac2Mg4Rh2,-0.45344
588,AcMg2Si2,-0.40803
589,AcMg2Sn2,-0.53704
590,Ac2Mg4Tl2,-0.24672
591,AcMg2Tl2,-0.24736
592,Ac2Mg6Sb6,-0.71036
593,Ac2Mg8Sn4,-0.39843
594,AcMg4Zn2,-0.15577
595,AcMg5Rh2,-0.3998
596,AcMg6Tl6,-0.11848
597,AcMg8Zn4,-0.10765
598,Ac2Mn2N6,-0.84287
599,Ac2Mn2P2O2,-1.96672
600,Ac4Mn4O12,-3.04394
601,AcMn2O6,-2.42995
602,AcMoN3,-1.06391
603,Ac2Mo2O8,-2.96239
604,AcMo6S8,-1.23354
605,AcN,-1.36852
