,composition,Formation Energy (eV/atom)
717,AcSn2Pd2,-0.78398
718,SrAcPd2,-0.73333
719,AcTe2Pd2,-0.82724
720,Ac4Zn4Pd8,-0.73694
721,AcPd3,-0.74073
722,Ac2Si2Pd6,-0.85776
723,AcTlPd4,-0.60411
724,AcPd5,-0.5926
725,AcPmRu,-0.12459
726,Ac2Pm2Si6,-0.65367
727,AcPmSi4,-0.56797
728,Ac2Pm6S12,-2.11483
729,Ac2Pm6Se12,-1.93595
730,Ac2Pm6Te12,-1.47849
731,AcPrRu,-0.10464
732,Ac2Pr2Si6,-0.64301
733,AcPt,-1.17722
734,AcPtRh,-0.83752
735,Ac2Sb2Pt2,-1.14721
736,AcSiPt,-1.06657
737,AcSi2Pt,-0.8775
738,AcSnPt,-0.96644
739,Ac4Sn8Pt4,-0.84146
740,AcYbPt,-0.83906
741,AcZnPt,-0.86623
742,AcPt2,-1.01853
743,Ac2Sb4Pt4,-0.90362
744,Ac2Si4Pt4,-0.96811
745,Ac2Sn4Pt4,-0.90632
746,AcYbPt2,-1.08542
747,AcZn2Pt2,-0.82275
748,SrAcPt4,-0.95923
749,AcTlPt4,-0.73615
750,AcPt5,-0.77019
751,AcSi2Pt5,-0.90461
752,Ac2Pu2Si2,-0.39314
753,AcPuTe2,-1.29073
754,RbAcS2,-1.88638
755,RbAcSe2,-1.8063
756,RbAcTe2,-1.49566
757,Ac2Rh2,-0.68618
758,AcSbRh,-0.92602
759,Ac4Si4Rh4,-0.91036
760,AcSi3Rh,-0.77334
761,Ac4Sn4Rh4,-0.79047
762,Ac4Sn8Rh4,-0.71695
763,Sr2Ac2Rh2,-0.471
764,AcTeRh,-1.09645
765,Ac2Tl4Rh2,-0.41017
766,AcYbRh,-0.51922
767,Ac4Zn4Rh4,-0.6094
768,Ac2Zn4Rh2,-0.51149
769,Ac2Rh4,-0.58175
770,Ac2Sb4Rh4,-0.8531
771,Ac2Si4Rh4,-0.95397
772,Ac2Zn4Rh4,-0.53214
773,Ac3Rh9,-0.4525
774,SrAcRh4,-0.44237
775,AcSi2Rh5,-0.78852
776,AcSn4Rh6,-0.5561
777,Ac2Si2Ru2,-0.72196
778,AcSb12Ru4,-0.36928
