,composition,Formation Energy (eV/atom)
604,AcMo6S8,-0.9606
605,AcN,-1.11325
606,Ac4Sn4N4O4,-1.59834
607,Ac2N2O8,-1.74785
608,AcPa7N12,-1.56435
609,AcN2,-0.77161
610,Ac4P4N8,-1.02111
611,AcPaN2,-1.47931
612,Ac2Ni2N6,-0.48518
613,AcNpN3,-1.24184
614,AcPuN3,-1.12866
615,AcReN3,-0.76883
616,AcUN3,-1.4192
617,AcWN3,-1.00381
618,Ac2Pa4N8,-1.58762
619,Na2Ac2Pb2,-0.37801
620,NaAcPd4,-0.59677
621,NaAcPt4,-0.82273
622,NaAcSi,-0.24342
623,Na2Ac2Si6,-0.32603
624,NaAcSn,-0.39805
625,NaAcTe2,-1.40139
626,NaAcTl2,-0.29037
627,Na3AcPd8,-0.39541
628,Ac2Nb2O8,-3.00822
629,AcNb2O6,-2.91148
630,AcNb2O7,-2.71854
631,Ac2Nd2Si6,-0.64721
632,Ac2Nd2Te6,-1.51401
633,Ac2Nd6S12,-2.10076
634,Ac2Ni2,-0.25766
635,Ac4Ni4O12,-1.58674
636,AcNiP,-1.05027
637,AcNiRh,-0.46571
638,Ac4Si4Ni4,-0.65173
639,Ac2Si4Ni2,-0.69113
640,Ac2Si6Ni2,-0.57889
641,AcZnNi,-0.31652
642,Ac2Zn4Ni2,-0.32926
643,AcNi2,-0.28285
644,Ac2Ni4P4,-0.91653
645,Ac2Ni4Sb4,-0.67273
646,Ac2Si4Ni4,-0.68988
647,Ac2Ni4Sn4,-0.51488
648,Ac2Zn2Ni6,-0.27834
649,AcNi5,-0.21468
650,Ac2Np2O8,-3.27654
651,AcNpO5,-3.01697
652,Ac2Np4Se10,-1.44551
653,Ac2P2Os2O2,-1.8871
654,Ac2P2O2,-2.3232
655,Ac2P2Pd2O2,-1.92019
656,Ac2P2Rh2O2,-2.05236
657,Ac2P2Ru2O2,-2.04885
658,Ac2Tc2P2O2,-1.93464
659,Ac2Zn2P2O2,-1.88836
660,Ac2Sb2O2,-2.26159
661,AcPa4O12,-3.51831
662,AcTc4O12,-1.76042
663,RbAcO2,-2.59422
664,Ac4Pd4O12,-1.99289
665,Ac4Rh4O12,-2.15034
666,Ac4Sc4O12,-3.58199
667,Ac4Ti4O12,-3.26831
668,Ac4Tm4O12,-3.59532
669,Ac4V4O12,-2.55165
670,Ac2P2O8,-3.13608
671,AcPaO4,-3.74726
672,Ac2Ru2O8,-2.07034
673,Ac2Sb2O8,-2.39796
674,Ac2Ta2O8,-3.20019
675,Ac2U2O8,-3.43009
676,Ac2V2O8,-2.53738
677,Ac2W2O8,-1.79747
678,Ac2Re2O10,-2.33193
679,AcPt2O6,-1.4201
680,AcRh2O6,-1.5548
681,Ac2Se4O12,-1.61916
682,AcTa2O6,-3.08854
683,AcTa2O7,-2.95456
684,AcS2O8,-1.86337
685,AcPmOs,-0.02974
686,Ac2Si2Os2,-0.55789
687,AcTbOs,-0.06179
688,AcSb12Os4,-0.20747
689,AcP,-1.47564
690,AcPPd,-1.2293
691,AcPPt,-1.32323
692,AcPRh,-1.15982
693,Ac2P2S8,-1.08906
694,AcP2Pd2,-0.94262
695,AcP2Pd5,-0.76364
696,Ac2Pa4S10,-1.81499
697,Ac2Pa4Se10,-1.59216
698,Ac2Pa4Te10,-1.0918
699,Ac4Pd8Pb4,-0.66144
700,AcPt4Pb,-0.69899
701,Ac2Sc2Pb2,-0.43761
702,Ac4Pd4Pb8,-0.54418
703,Ac2Rh2Pb4,-0.47011
704,AcTlPb2,-0.39532
705,AcPb3,-0.41533
706,AcRh4Pb6,-0.25667
707,AcPd,-0.78481
708,AcSbPd,-1.09389
709,AcSiPd,-0.85925
710,AcSnPd,-0.8575
711,Ac2Sn4Pd2,-0.78854
712,AcZnPd,-0.67406
713,Ac2Zn4Pd2,-0.54367
714,Ac2Sb4Pd4,-0.90154
715,AcSi2Pd2,-0.86655
716,AcSnPd2,-0.82623
717,AcSn2Pd2,-0.78723
718,SrAcPd2,-0.73216
719,AcTe2Pd2,-0.81515
720,Ac4Zn4Pd8,-0.73411
721,AcPd3,-0.73975
722,Ac2Si2Pd6,-0.85972
723,AcTlPd4,-0.59815
724,AcPd5,-0.58948
725,AcPmRu,-0.12091
726,Ac2Pm2Si6,-0.65242
727,AcPmSi4,-0.56134
728,Ac2Pm6S12,-2.11348
729,Ac2Pm6Se12,-1.93814
730,Ac2Pm6Te12,-1.48154
731,AcPrRu,-0.09937
732,Ac2Pr2Si6,-0.64222
733,AcPt,-1.17143
734,AcPtRh,-0.81309
735,Ac2Sb2Pt2,-1.1544
736,AcSiPt,-1.06885
737,AcSi2Pt,-0.87198
738,AcSnPt,-0.97048
739,Ac4Sn8Pt4,-0.84674
740,AcYbPt,-0.87569
741,AcZnPt,-0.85968
742,AcPt2,-1.0332
743,Ac2Sb4Pt4,-0.90944
744,Ac2Si4Pt4,-0.96142
745,Ac2Sn4Pt4,-0.9088
746,AcYbPt2,-1.07661
747,AcZn2Pt2,-0.82086
748,SrAcPt4,-0.95993
749,AcTlPt4,-0.73716
750,AcPt5,-0.76651
751,AcSi2Pt5,-0.90211
752,Ac2Pu2Si2,-0.39226
753,AcPuTe2,-1.29345
754,RbAcS2,-1.88582
755,RbAcSe2,-1.80796
756,RbAcTe2,-1.49642
757,Ac2Rh2,-0.68398
758,AcSbRh,-0.92448
759,Ac4Si4Rh4,-0.91356
760,AcSi3Rh,-0.77288
761,Ac4Sn4Rh4,-0.78945
762,Ac4Sn8Rh4,-0.71724
763,Sr2Ac2Rh2,-0.47467
764,AcTeRh,-1.1091
765,Ac2Tl4Rh2,-0.40017
766,AcYbRh,-0.55062
767,Ac4Zn4Rh4,-0.6086
768,Ac2Zn4Rh2,-0.50004
769,Ac2Rh4,-0.58052
770,Ac2Sb4Rh4,-0.85427
771,Ac2Si4Rh4,-0.95514
772,Ac2Zn4Rh4,-0.52499
773,Ac3Rh9,-0.45421
774,SrAcRh4,-0.44053
775,AcSi2Rh5,-0.78453
776,AcSn4Rh6,-0.56326
777,Ac2Si2Ru2,-0.72004
778,AcSb12Ru4,-0.3698
