,composition,Formation Energy (eV/atom)
591,AcMg2Tl2,-0.24968
592,Ac2Mg6Sb6,-0.61907
593,Ac2Mg8Sn4,-0.34605
594,AcMg4Zn2,-0.16604
595,AcMg5Rh2,-0.39359
596,AcMg6Tl6,-0.12062
597,AcMg8Zn4,-0.1316
598,Ac2Mn2N6,-0.70882
599,Ac2Mn2P2O2,-1.3838
600,Ac4Mn4O12,-2.28479
601,AcMn2O6,-1.54459
602,AcMoN3,-0.83982
603,Ac2Mo2O8,-1.91421
604,AcMo6S8,-0.96547
605,AcN,-1.10411
606,Ac4Sn4N4O4,-1.59335
607,Ac2N2O8,-1.70269
608,AcPa7N12,-1.56733
609,AcN2,-0.79056
610,Ac4P4N8,-1.015
611,AcPaN2,-1.48191
612,Ac2Ni2N6,-0.49087
613,AcNpN3,-1.25616
614,AcPuN3,-1.14522
615,AcReN3,-0.77325
616,AcUN3,-1.42624
617,AcWN3,-1.00005
618,Ac2Pa4N8,-1.60406
619,Na2Ac2Pb2,-0.38403
620,NaAcPd4,-0.594
621,NaAcPt4,-0.81607
622,NaAcSi,-0.23343
623,Na2Ac2Si6,-0.3208
624,NaAcSn,-0.38199
625,NaAcTe2,-1.39573
626,NaAcTl2,-0.28754
627,Na3AcPd8,-0.39778
628,Ac2Nb2O8,-2.98115
629,AcNb2O6,-2.8774
630,AcNb2O7,-2.68123
631,Ac2Nd2Si6,-0.64286
632,Ac2Nd2Te6,-1.51212
633,Ac2Nd6S12,-2.10041
634,Ac2Ni2,-0.24896
635,Ac4Ni4O12,-1.56189
636,AcNiP,-1.04271
637,AcNiRh,-0.4731
638,Ac4Si4Ni4,-0.65086
639,Ac2Si4Ni2,-0.68974
640,Ac2Si6Ni2,-0.576
641,AcZnNi,-0.31672
642,Ac2Zn4Ni2,-0.34096
643,AcNi2,-0.27313
644,Ac2Ni4P4,-0.92511
645,Ac2Ni4Sb4,-0.66605
646,Ac2Si4Ni4,-0.70223
647,Ac2Ni4Sn4,-0.50192
648,Ac2Zn2Ni6,-0.27689
649,AcNi5,-0.20765
650,Ac2Np2O8,-3.24521
651,AcNpO5,-2.98415
652,Ac2Np4Se10,-1.43779
653,Ac2P2Os2O2,-1.88397
654,Ac2P2O2,-2.30946
655,Ac2P2Pd2O2,-1.92727
656,Ac2P2Rh2O2,-2.05089
657,Ac2P2Ru2O2,-2.04193
658,Ac2Tc2P2O2,-1.91948
659,Ac2Zn2P2O2,-1.87354
660,Ac2Sb2O2,-2.25117
661,AcPa4O12,-3.46725
662,AcTc4O12,-1.72189
663,RbAcO2,-2.56148
664,Ac4Pd4O12,-1.96466
665,Ac4Rh4O12,-2.12615
666,Ac4Sc4O12,-3.55385
667,Ac4Ti4O12,-3.2398
668,Ac4Tm4O12,-3.56476
669,Ac4V4O12,-2.53031
670,Ac2P2O8,-3.10324
671,AcPaO4,-3.71509
672,Ac2Ru2O8,-2.03731
