,composition,type,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom)
41122,Ag2RhTl,full,"[[2.83988476, 2.83988476, -0.0], [-2.83988476, 2.83988476, -0.0], [0.0, 0.0, 9.02433228]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 47, 47, 45, 45, 81, 81]",-3.55454220875,0.1722426918749997,0.1722426918749997
41338,AgHfGe,half,"[[2.72747242, 2.72747242, 0.0], [-2.72747242, 2.72747242, -0.0], [0.0, 0.0, 8.70290442]]","[[0.4999999999999999, 2.7755575615628907e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[47, 47, 72, 72, 32, 32]",-5.684116828333334,0.0354321116666665,0.4681197479334679
41593,AgReSi,half,"[[2.3854901, 2.3854901, -0.0], [-2.3854901, 2.3854901, 0.0], [0.0, 0.0, 9.41117371]]","[[0.4999999999999999, 2.7755575615628907e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]","[47, 47, 75, 75, 14, 14]",-6.236690371666668,0.6091045566666663,0.827015237083333
41804,AgIrAl,half,"[[2.46227794, 2.46227794, 0.0], [-2.46227794, 2.46227794, 0.0], [-0.0, 0.0, 9.05313122]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[47, 47, 77, 77, 13, 13]",-5.059225095,0.0440952816666667,0.6749784516666667
42601,CdFeIn,half,"[[2.63527811, 2.63527811, 0.0], [-2.63527811, 2.63527811, 0.0], [0.0, 0.0, 9.42359282]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[48, 48, 26, 26, 49, 49]",-3.3804318133333333,0.4794809116666669,0.4794809116666669
43568,Cd2RuBi,full,"[[2.95156298, 2.95156298, -0.0], [-2.95156298, 2.95156298, 0.0], [-0.0, -0.0, 9.4854508]]","[[0.5, 3.7614749613953916e-17, 0.25], [0.0, 0.5, 0.75], [0.5, 3.7614749613953916e-17, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.5, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.5, 0.5]]","[48, 48, 48, 48, 44, 44, 83, 83]",-3.2902065175,0.3629667274999995,0.3629667274999995
44301,Cd2ReBi,full,"[[2.94034875, 2.94034875, 0.0], [-2.94034875, 2.94034875, 0.0], [0.0, 0.0, 9.67584395]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[48, 48, 48, 48, 75, 75, 83, 83]",-3.66547447625,0.7785817262499997,0.7785817262499997
48102,Ta2CdSi,full,"[[2.8641342, 2.8641342, -0.0], [-2.8641342, 2.8641342, -0.0], [-0.0, -0.0, 8.4897616]]","[[0.5, 3.876295407614478e-17, 0.25], [0.9999999999999999, 0.4999999999999999, 0.7499999999999998], [0.5, 3.876295407614478e-17, 0.7499999999999998], [0.9999999999999999, 0.4999999999999999, 0.25], [0.9999999999999997, 0.9999999999999999, 0.5], [0.49999999999999983, 0.49999999999999994, 0.0], [0.0, 0.0, 0.0], [0.49999999999999983, 0.49999999999999994, 0.5]]","[73, 73, 73, 73, 48, 48, 14, 14]",-7.25323496875,0.1925541874999998,0.612227306250001
49708,W2NbSb,full,"[[2.76176776, 2.76176776, -0.0], [-2.76176776, 2.76176776, 0.0], [0.0, 0.0, 9.34298313]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[74, 74, 74, 74, 41, 41, 51, 51]",-9.65291020125,0.3785475149999993,0.5308649358333332
50210,W2HfIn,full,"[[2.84199311, 2.84199311, -0.0], [-2.84199311, 2.84199311, 0.0], [0.0, 0.0, 9.15595609]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[74, 74, 74, 74, 72, 72, 49, 49]",-9.2169955225,0.3779527475000002,0.5080570905000009
