composition,cell,positions,numbers,entry_id,calculation_id,OQMD Formation energy (eV/atom),OQMD Hull distance (eV/atom),natoms,spacegroup
HfSb,"[[5.623355603, 0.0, 0.0], [0.0, 5.623355603, 0.0], [0.0, 0.0, 5.623355603]]","[[0.856, 0.356, 0.144], [0.144, 0.856, 0.356], [0.644, 0.644, 0.644], [0.356, 0.144, 0.856], [0.656, 0.844, 0.156], [0.344, 0.344, 0.344], [0.844, 0.156, 0.656], [0.156, 0.656, 0.844]]","[72, 72, 72, 72, 51, 51, 51, 51]",2027366,5142219,-0.5514753237500001,0.0,8,P213
Sc5Sb3,"[[11.069686975, 0.0, 0.0], [0.0, 8.728526155, 0.0], [0.0, 0.0, 7.611632057]]","[[0.325, 0.51, 0.0644], [0.325, 0.99, 0.0644], [0.0243, 0.25, 0.0945], [0.524, 0.25, 0.406], [0.825, 0.51, 0.436], [0.825, 0.99, 0.436], [0.175, 0.0098, 0.564], [0.175, 0.49, 0.564], [0.476, 0.75, 0.594], [0.976, 0.75, 0.906], [0.675, 0.0098, 0.936], [0.675, 0.49, 0.936], [0.495, 0.25, 0.0238], [0.787, 0.75, 0.158], [0.769, 0.25, 0.176], [0.065, 0.56, 0.195], [0.065, 0.94, 0.195], [0.565, 0.56, 0.305], [0.565, 0.94, 0.305], [0.269, 0.25, 0.324], [0.287, 0.75, 0.342], [0.995, 0.25, 0.476], [0.00526, 0.75, 0.524], [0.713, 0.25, 0.658], [0.731, 0.75, 0.676], [0.435, 0.0601, 0.695], [0.435, 0.44, 0.695], [0.935, 0.0601, 0.805], [0.935, 0.44, 0.805], [0.231, 0.75, 0.824], [0.213, 0.25, 0.842], [0.505, 0.75, 0.976]]","[51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]",2053211,5185245,-0.8619997746874999,0.0,32,Pnma
Hf7Sb4,"[[8.645903912, -1.883838582, 0.0], [8.645903912, 1.883838582, 0.0], [-3.733716296, 0.0, 15.061918118]]","[[0.0, 0.0, 0.0], [0.33, 0.33, 0.0374], [0.572, 0.572, 0.176], [0.789, 0.789, 0.202], [0.2, 0.2, 0.305], [0.000932, 0.000932, 0.34], [0.812, 0.812, 0.454], [0.5, 0.5, 0.5], [0.188, 0.188, 0.546], [0.999, 0.999, 0.66], [0.8, 0.8, 0.695], [0.211, 0.211, 0.798], [0.428, 0.428, 0.824], [0.67, 0.67, 0.963], [0.172, 0.172, 0.105], [0.937, 0.937, 0.154], [0.372, 0.372, 0.338], [0.629, 0.629, 0.4], [0.371, 0.371, 0.6], [0.628, 0.628, 0.662], [0.0627, 0.0627, 0.846], [0.828, 0.828, 0.895]]","[72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 51, 51, 51, 51, 51, 51, 51, 51]",2135333,5593059,-0.46154397409091014,0.0,22,C2/m
Hf15Sc,"[[6.394518771, 0.0, 0.0], [-3.197259386, 5.537815701, 0.0], [0.0, 0.0, 10.081537579]]","[[0.166, 0.332, 0.0], [0.166, 0.834, 0.0], [0.668, 0.834, 0.0], [0.00193, 0.501, 0.25], [0.499, 0.501, 0.25], [0.499, 0.998, 0.25], [0.0, 0.0, 0.25], [0.667, 0.333, 0.5], [0.167, 0.334, 0.5], [0.167, 0.833, 0.5], [0.666, 0.833, 0.5], [0.0, 0.0, 0.75], [0.00193, 0.501, 0.75], [0.499, 0.501, 0.75], [0.499, 0.998, 0.75], [0.667, 0.333, 0.0]]","[72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 21]",2160192,5671757,-0.005399041875000066,0.0,16,P-6m2
Bi2Pd5,"[[0.0, -5.852681, 0.0], [3.325495, 0.0, -5.966045], [3.971086, 2.92634, 5.952744]]","[[0.598, 0.907, 0.196], [0.131, 0.356, 0.262], [0.869, 0.644, 0.738], [0.402, 0.0932, 0.804], [0.251, 0.5, 5.34e-07], [0.749, 0.5, 5.34e-07], [0.0942, 0.913, 0.188], [0.633, 0.36, 0.267], [0.474, 0.767, 0.452], [0.978, 0.767, 0.452], [0.0224, 0.233, 0.548], [0.526, 0.233, 0.548], [0.367, 0.64, 0.733], [0.906, 0.0873, 0.812]]","[83, 83, 83, 83, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",10954,848583,-0.277803352857142,0.0,14,C2/m
Bi,"[[2.287869, -3.962706, 0.0], [-4.575738, 0.0, 0.0], [2.287869, -1.320902, -3.979905]]","[[0.235, 0.765, 0.294], [0.765, 0.235, 0.706]]","[83, 83]",640404,1233344,0.0,0.0,2,R-3m
Pd,"[[0.0, 1.964273, -1.964273], [1.964273, 0.0, 1.964273], [0.0, -1.964273, -1.964273]]","[[0.0, 0.0, 0.0]]",[46],1214557,1281873,0.0,0.0,1,Fm-3m
Cu3Pd,"[[3.719638, 0.0, 0.0], [0.0, 3.719638, 0.0], [0.0, 0.0, 25.718954]]","[[0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.5, 0.5, 0.0714], [0.5, 0.0, 0.143], [0.0, 0.5, 0.143], [0.5, 0.5, 0.214], [0.5, 0.0, 0.286], [0.0, 0.5, 0.286], [0.0, 0.0, 0.357], [0.5, 0.0, 0.429], [0.0, 0.5, 0.429], [0.0, 0.0, 0.5], [0.5, 0.0, 0.571], [0.0, 0.5, 0.571], [0.0, 0.0, 0.643], [0.5, 0.0, 0.714], [0.0, 0.5, 0.714], [0.5, 0.5, 0.786], [0.5, 0.0, 0.857], [0.0, 0.5, 0.857], [0.5, 0.5, 0.929], [0.0, 0.0, 0.0714], [0.0, 0.0, 0.214], [0.5, 0.5, 0.357], [0.5, 0.5, 0.5], [0.5, 0.5, 0.643], [0.0, 0.0, 0.786], [0.0, 0.0, 0.929]]","[29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 29, 46, 46, 46, 46, 46, 46, 46]",18547,1351945,-0.107827391428571,0.0,28,P4/mmm
CuPd,"[[3.010157587, 0.0, 0.0], [0.0, 3.010157587, 0.0], [0.0, 0.0, 3.010157587]]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[29, 46]",1338922,3376768,-0.12666178,0.0,2,Pm-3m
CuPd7,"[[0.0, 3.91828698, 3.91828698], [3.91828698, 0.0, 3.91828698], [3.91828698, 3.91828698, 0.0]]","[[0.0, 0.0, 0.0], [0.5, 0.0, 0.0], [0.0, 0.5, 0.0], [0.5, 0.5, 0.0], [0.0, 0.0, 0.5], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.5, 0.5, 0.5]]","[29, 46, 46, 46, 46, 46, 46, 46]",1378051,3529912,-0.0412669237499994,0.0,8,Fm-3m
BiPd5,"[[2.882819563, -3.96875597, 0.0], [2.882819563, 3.96875597, 0.0], [0.0, 0.0, 8.773191792]]","[[0.25, 0.75, 0.324], [0.75, 0.25, 0.676], [0.75, 0.25, 0.00653], [0.25, 0.25, 0.16], [0.75, 0.75, 0.16], [0.75, 0.25, 0.327], [0.25, 0.25, 0.5], [0.75, 0.75, 0.5], [0.25, 0.75, 0.673], [0.25, 0.25, 0.84], [0.75, 0.75, 0.84], [0.25, 0.75, 0.993]]","[83, 83, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",1374323,3610149,-0.200902945833333,0.0,12,Cmma
Bi2Pd,"[[0.0, 3.419534923, 3.419534923], [3.419534923, 0.0, 3.419534923], [3.419534923, 3.419534923, 0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0]]","[83, 83, 46]",1986250,4988636,-0.2736913766666665,0.0,3,Fm-3m
BiPd,"[[4.283724892, 0.0, 0.0], [-2.141862446, 3.709814579, 0.0], [0.0, 0.0, 5.757577788]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5]]","[83, 83, 46, 46]",2012389,5089059,-0.3253969974999995,0.0,4,P63/mmc
CuPd3,"[[3.877605925, 0.0, 0.0], [0.0, 3.877605925, 0.0], [0.0, 0.0, 3.877605925]]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5]]","[29, 46, 46, 46]",2029793,5103236,-0.07386057750000052,0.0,4,Pm-3m
BiPd3,"[[4.768130021, 0.0, 0.0], [0.0, 5.847435727, 0.0], [0.0, 0.0, 5.061996822]]","[[0.0, 0.0, 0.179], [0.5, 0.5, 0.821], [0.0, 0.5, 0.185], [0.5, 0.25, 0.328], [0.5, 0.75, 0.328], [0.0, 0.25, 0.672], [0.0, 0.75, 0.672], [0.5, 0.0, 0.815]]","[83, 83, 46, 46, 46, 46, 46, 46]",2034610,5146490,-0.26526941374999957,0.0,8,Pmmn
Cu,"[[0.0, 1.805395502, 1.805395502], [1.805395502, 0.0, 1.805395502], [1.805395502, 1.805395502, 0.0]]","[[0.0, 0.0, 0.0]]",[29],635950,5193079,0.0,0.0,1,Fm-3m
Cu,"[[0.0, 1.805397168, 1.805397168], [1.805397168, 0.0, 1.805397168], [1.805397168, 1.805397168, 0.0]]","[[0.0, 0.0, 0.0]]",[29],2066481,5220779,0.0,0.0,1,Fm-3m
Cu,"[[-1.270097388, 1.270097388, 1.832328719], [1.270097388, -1.270097388, 1.832328719], [1.270097388, 1.270097388, -1.832328719]]","[[0.0, 0.0, 0.0]]",[29],2072241,5327339,0.0,0.0,1,I4/mmm
BiPd8,"[[4.910897085, 0.0, 0.0], [0.843335501, 4.84890266, 0.0], [1.65662169, 0.517752137, 6.117352588]]","[[0.541, 0.0459, 0.757], [0.211, 0.383, 0.0924], [0.428, 0.822, 0.207], [0.654, 0.27, 0.306], [0.872, 0.709, 0.421], [0.095, 0.159, 0.528], [0.312, 0.602, 0.643], [0.77, 0.49, 0.871], [0.986, 0.933, 0.986]]","[83, 46, 46, 46, 46, 46, 46, 46, 46]",2131761,5579790,-0.14857148166666592,0.0,9,P1
BiPd4,"[[-3.197225568, 3.197225568, 2.094262313], [3.197225568, -3.197225568, 2.094262313], [3.197225568, 3.197225568, -2.094262313]]","[[0.0, 0.0, 0.0], [0.805, 0.403, 0.208], [0.597, 0.805, 0.402], [0.403, 0.195, 0.598], [0.195, 0.597, 0.792]]","[83, 46, 46, 46, 46]",2160032,5671229,-0.2289596329999995,0.0,5,I4/m
Ge,"[[2.878716, -2.878716, 0.0], [-2.878716, 0.0, -2.878716], [2.878716, 2.878716, 0.0]]","[[0.0, 0.0, 0.0], [0.75, 0.5, 0.25]]","[32, 32]",7651,5734,0.0,0.0,2,Fd-3m
Hf2Ag,"[[0.0, -3.216532, 0.0], [-3.216532, 0.0, 0.0], [1.608266, 1.608266, -5.965308]]","[[0.0, 0.0, 0.0], [0.665, 0.665, 0.33], [0.335, 0.335, 0.67]]","[47, 72, 72]",20651,8907,-0.121139735833334,0.0,3,I4/mmm
Ag,"[[2.898306, 0.0, 0.0], [-1.449153, 2.510019, 0.0], [0.0, 0.0, 9.708416]]","[[0.0, 0.0, 0.0], [0.333, 0.667, 0.25], [0.0, 0.0, 0.5], [0.667, 0.333, 0.75]]","[47, 47, 47, 47]",11876,11723,0.0,0.0,4,P63/mmc
HfAg,"[[3.428077, 0.0, 0.0], [0.0, 3.428077, 0.0], [0.0, 0.0, 6.635498]]","[[0.75, 0.75, 0.385], [0.25, 0.25, 0.615], [0.25, 0.25, 0.14], [0.75, 0.75, 0.86]]","[47, 47, 72, 72]",20652,13202,-0.11913138375,0.0,4,P4/nmm
HfGe2,"[[0.0, 0.0, 3.785667], [3.821681, 0.0, 0.0], [1.910841, 7.490119, 0.0]]","[[0.75, 0.439, 0.122], [0.25, 0.25, 0.5], [0.75, 0.75, 0.5], [0.25, 0.561, 0.878], [0.25, 0.895, 0.21], [0.75, 0.105, 0.79]]","[32, 32, 32, 32, 72, 72]",3543,16947,-0.473228933333334,0.0,6,Cmcm
Hf2Ge,"[[0.0, 0.0, -5.311558], [3.310171, 3.310171, 2.655779], [3.310171, -3.310171, -2.655779]]","[[0.25, 0.0, 0.0], [0.75, 0.0, 0.0], [0.156, 0.5, 0.188], [0.656, 0.812, 0.5], [0.344, 0.188, 0.5], [0.844, 0.5, 0.812]]","[32, 32, 72, 72, 72, 72]",7794,19851,-0.655102311666667,0.0,6,I4/mcm
Hf3Ge2,"[[7.152547, 0.0, 0.0], [0.0, 7.152547, 0.0], [0.0, 0.0, 3.693449]]","[[0.631, 0.131, 0.0], [0.131, 0.369, 0.0], [0.869, 0.631, 0.0], [0.369, 0.869, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.0], [0.33, 0.17, 0.5], [0.83, 0.33, 0.5], [0.17, 0.67, 0.5], [0.67, 0.83, 0.5]]","[32, 32, 32, 32, 72, 72, 72, 72, 72, 72]",30438,146348,-0.697280762,0.0,10,P4/mbm
Hf5Ge4,"[[7.042901, 0.0, 0.0], [0.0, 13.470092, 0.0], [0.0, 0.0, 7.12574]]","[[0.804, 0.541, 0.0349], [0.804, 0.959, 0.0349], [0.447, 0.75, 0.111], [0.821, 0.25, 0.146], [0.321, 0.25, 0.354], [0.947, 0.75, 0.389], [0.304, 0.541, 0.465], [0.304, 0.959, 0.465], [0.696, 0.0406, 0.535], [0.696, 0.459, 0.535], [0.0531, 0.25, 0.611], [0.679, 0.75, 0.646], [0.179, 0.75, 0.854], [0.553, 0.25, 0.889], [0.196, 0.0406, 0.965], [0.196, 0.459, 0.965], [0.181, 0.25, 0.00213], [0.146, 0.624, 0.167], [0.146, 0.876, 0.167], [0.514, 0.0946, 0.177], [0.514, 0.405, 0.177], [0.0143, 0.0946, 0.323], [0.0143, 0.405, 0.323], [0.646, 0.624, 0.333], [0.646, 0.876, 0.333], [0.681, 0.25, 0.498], [0.319, 0.75, 0.502], [0.354, 0.124, 0.667], [0.354, 0.376, 0.667], [0.986, 0.595, 0.677], [0.986, 0.905, 0.677], [0.486, 0.595, 0.823], [0.486, 0.905, 0.823], [0.854, 0.124, 0.833], [0.854, 0.376, 0.833], [0.819, 0.75, 0.998]]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72, 72]",13721,1383098,-0.704857403055556,0.0,36,Pnma
Ag,"[[4.80112894, 0.0, 0.0], [0.0, 5.870366604, 0.0], [0.0, 0.0, 5.034336182]]","[[0.0, 0.0, 0.165], [0.0, 0.5, 0.165], [0.5, 0.25, 0.335], [0.5, 0.75, 0.335], [0.0, 0.25, 0.665], [0.0, 0.75, 0.665], [0.5, 0.0, 0.835], [0.5, 0.5, 0.835]]","[47, 47, 47, 47, 47, 47, 47, 47]",1520469,3982161,0.0,0.0,8,Pmmn
Ag,"[[2.914968645, 0.0, 0.0], [-1.457484322, 2.524436898, 0.0], [0.0, 0.0, 14.340572434]]","[[0.333, 0.667, 0.0835], [0.0, 0.0, 0.25], [0.667, 0.333, 0.417], [0.333, 0.667, 0.583], [0.0, 0.0, 0.75], [0.667, 0.333, 0.916]]","[47, 47, 47, 47, 47, 47]",1972133,4958873,0.0,0.0,6,P-3m1
Ag124Ge,"[[0.0, 10.406751585, 10.406751585], [10.406751585, 0.0, 10.406751585], [10.406751585, 10.406751585, 0.0]]","[[0.2, 0.0, 0.0], [0.4, 0.0, 0.0], [0.6, 0.0, 0.0], [0.8, 0.0, 0.0], [0.0, 0.2, 0.0], [0.8, 0.2, 0.0], [0.2, 0.2, 0.0], [0.6, 0.2, 0.0], [0.4, 0.2, 0.0], [0.2, 0.4, 0.0], [0.4, 0.4, 0.0], [0.0, 0.4, 0.0], [0.6, 0.4, 0.0], [0.8, 0.4, 0.0], [0.2, 0.6, 0.0], [0.0, 0.6, 0.0], [0.4, 0.6, 0.0], [0.6, 0.6, 0.0], [0.8, 0.6, 0.0], [0.6, 0.8, 0.0], [0.4, 0.8, 0.0], [0.8, 0.8, 0.0], [0.0, 0.8, 0.0], [0.2, 0.8, 0.0], [0.0, 0.0, 0.2], [0.8, 0.0, 0.2], [0.0, 0.8, 0.2], [0.6, 0.6, 0.2], [0.2, 0.0, 0.2], [0.0, 0.2, 0.2], [0.6, 0.2, 0.2], [0.2, 0.6, 0.2], [0.6, 0.0, 0.2], [0.0, 0.6, 0.2], [0.4, 0.6, 0.2], [0.4, 0.8, 0.2], [0.6, 0.4, 0.2], [0.8, 0.4, 0.2], [0.8, 0.6, 0.2], [0.6, 0.8, 0.2], [0.4, 0.2, 0.2], [0.2, 0.4, 0.2], [0.2, 0.2, 0.2], [0.4, 0.0, 0.2], [0.0, 0.4, 0.2], [0.4, 0.4, 0.2], [0.2, 0.8, 0.2], [0.8, 0.2, 0.2], [0.8, 0.8, 0.2], [0.2, 0.2, 0.4], [0.2, 0.0, 0.4], [0.4, 0.0, 0.4], [0.0, 0.2, 0.4], [0.4, 0.2, 0.4], [0.0, 0.4, 0.4], [0.2, 0.4, 0.4], [0.4, 0.4, 0.4], [0.8, 0.4, 0.4], [0.4, 0.8, 0.4], [0.0, 0.0, 0.4], [0.6, 0.0, 0.4], [0.0, 0.6, 0.4], [0.8, 0.8, 0.4], [0.8, 0.0, 0.4], [0.0, 0.8, 0.4], [0.6, 0.4, 0.4], [0.6, 0.6, 0.4], [0.4, 0.6, 0.4], [0.8, 0.2, 0.4], [0.2, 0.6, 0.4], [0.2, 0.8, 0.4], [0.6, 0.2, 0.4], [0.8, 0.6, 0.4], [0.6, 0.8, 0.4], [0.4, 0.8, 0.6], [0.4, 0.2, 0.6], [0.8, 0.2, 0.6], [0.2, 0.4, 0.6], [0.8, 0.4, 0.6], [0.2, 0.8, 0.6], [0.6, 0.4, 0.6], [0.4, 0.4, 0.6], [0.4, 0.6, 0.6], [0.2, 0.0, 0.6], [0.2, 0.2, 0.6], [0.0, 0.2, 0.6], [0.0, 0.0, 0.6], [0.4, 0.0, 0.6], [0.0, 0.4, 0.6], [0.6, 0.2, 0.6], [0.2, 0.6, 0.6], [0.6, 0.6, 0.6], [0.6, 0.0, 0.6], [0.8, 0.0, 0.6], [0.0, 0.6, 0.6], [0.8, 0.6, 0.6], [0.0, 0.8, 0.6], [0.6, 0.8, 0.6], [0.8, 0.8, 0.6], [0.2, 0.8, 0.8], [0.2, 0.2, 0.8], [0.8, 0.2, 0.8], [0.6, 0.0, 0.8], [0.0, 0.6, 0.8], [0.6, 0.6, 0.8], [0.8, 0.6, 0.8], [0.6, 0.8, 0.8], [0.8, 0.8, 0.8], [0.4, 0.6, 0.8], [0.4, 0.2, 0.8], [0.6, 0.2, 0.8], [0.2, 0.4, 0.8], [0.6, 0.4, 0.8], [0.2, 0.6, 0.8], [0.4, 0.0, 0.8], [0.8, 0.0, 0.8], [0.0, 0.4, 0.8], [0.8, 0.4, 0.8], [0.0, 0.8, 0.8], [0.4, 0.8, 0.8], [0.4, 0.4, 0.8], [0.0, 0.0, 0.8], [0.2, 0.0, 0.8], [0.0, 0.2, 0.8], [0.0, 0.0, 0.0]]","[47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 32]",2070124,5294091,-0.005135328679999929,0.0,125,Fm-3m
Ge,"[[8.131129826, 4.694509994, 6.639806937], [-8.131129826, 4.694509994, 6.639806937], [0.0, -9.389019988, 6.639806937]]","[[0.0, 0.0, 0.0], [0.375, 0.125, 0.125], [0.125, 0.375, 0.125], [0.875, 0.625, 0.125], [0.625, 0.875, 0.125], [0.875, 0.125, 0.125], [0.125, 0.875, 0.125], [0.625, 0.375, 0.125], [0.375, 0.625, 0.125], [0.25, 0.5, 0.25], [0.5, 0.25, 0.25], [1.0, 0.75, 0.25], [0.75, 1.0, 0.25], [1.0, 0.25, 0.25], [0.25, 1.0, 0.25], [0.75, 0.5, 0.25], [0.5, 0.75, 0.25], [0.375, 0.375, 0.375], [0.875, 0.875, 0.375], [0.625, 0.125, 0.375], [0.125, 0.625, 0.375], [0.125, 0.125, 0.375], [0.625, 0.625, 0.375], [0.875, 0.375, 0.375], [0.375, 0.875, 0.375], [0.5, 0.5, 0.5], [0.25, 0.25, 0.5], [0.75, 0.75, 0.5], [1.0, 1.0, 0.5], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [1.0, 0.5, 0.5], [0.5, 1.0, 0.5], [0.875, 0.125, 0.625], [0.125, 0.875, 0.625], [0.625, 0.375, 0.625], [0.375, 0.625, 0.625], [0.375, 0.125, 0.625], [0.125, 0.375, 0.625], [0.625, 0.875, 0.625], [0.875, 0.625, 0.625], [0.75, 0.5, 0.75], [0.5, 0.75, 0.75], [1.0, 0.25, 0.75], [0.25, 1.0, 0.75], [0.5, 0.25, 0.75], [0.25, 0.5, 0.75], [1.0, 0.75, 0.75], [0.75, 1.0, 0.75], [0.875, 0.375, 0.875], [0.375, 0.875, 0.875], [0.625, 0.125, 0.875], [0.125, 0.625, 0.875], [0.125, 0.125, 0.875], [0.625, 0.625, 0.875], [0.375, 0.375, 0.875], [0.875, 0.875, 0.875], [0.25, 0.25, 1.0], [0.75, 0.25, 1.0], [0.25, 0.75, 1.0], [1.0, 0.5, 1.0], [0.5, 1.0, 1.0], [0.75, 0.75, 1.0], [0.5, 0.5, 1.0]]","[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",2065280,5314679,0.0,0.0,64,R3m
Ag,"[[-1.44733542, 1.44733542, 2.103282508], [1.44733542, -1.44733542, 2.103282508], [1.44733542, 1.44733542, -2.103282508]]","[[0.0, 0.0, 0.0]]",[47],2072208,5327102,0.0,0.0,1,I4/mmm
Ag,"[[-1.444590988, 1.444590988, 2.117435199], [1.444590988, -1.444590988, 2.117435199], [1.444590988, 1.444590988, -2.117435199]]","[[0.0, 0.0, 0.0]]",[47],2072209,5327105,0.0,0.0,1,I4/mmm
Re,"[[2.769518, 0.0, 0.0], [-1.384759, 2.398456, 0.0], [0.0, 0.0, 4.472354]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[75, 75]",7248,5852,0.0,0.0,2,P63/mmc
CoRe3,"[[5.401747, 0.0, 0.0], [-2.700874, 4.67805, 0.0], [0.0, 0.0, 4.337903]]","[[0.667, 0.333, 0.25], [0.333, 0.667, 0.75], [0.166, 0.332, 0.25], [0.667, 0.834, 0.25], [0.166, 0.834, 0.25], [0.834, 0.166, 0.75], [0.333, 0.166, 0.75], [0.834, 0.668, 0.75]]","[27, 27, 75, 75, 75, 75, 75, 75]",319583,1391258,-0.0716410325000005,0.0,8,P63/mmc
CoRe,"[[4.189491, 0.0, 0.0], [0.0, 2.621157, 0.0], [0.0, 0.0, 4.529076]]","[[0.25, 0.0, 0.16], [0.75, 0.0, 0.84], [0.75, 0.5, 0.325], [0.25, 0.5, 0.675]]","[27, 27, 75, 75]",1219818,2695812,-0.0788100299999996,0.0,4,Pmma
Co,"[[2.483155743, 0.0, 0.0], [-1.241577872, 2.150475955, 0.0], [0.0, 0.0, 4.01495696]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[27, 27]",637416,2369249,-0.016891099999999604,0.0,2,P63/mmc
V,"[[1.487624, 1.487624, -1.487624], [1.487624, -1.487624, 1.487624], [-1.487624, -1.487624, -1.487624]]","[[0.0, 0.0, 0.0]]",[23],8082,3629,0.0,0.0,1,Im-3m
In,"[[-3.274433, 0.0, 0.0], [0.0, -3.274433, 0.0], [1.637216, 1.637216, 2.488566]]","[[0.0, 0.0, 0.0]]",[49],1215693,1283260,0.0,0.0,1,I4/mmm
Y,"[[3.63327, 0.0, 0.0], [-1.816634, 3.146503, 0.0], [0.0, 0.0, 5.675111]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[39, 39]",1215387,2693950,0.0,0.0,2,P63/mmc
Y2In,"[[6.729883609, 0.0, 0.0], [0.0, 5.203749685, 0.0], [0.0, 0.0, 9.769725572]]","[[0.712, 0.25, 0.106], [0.212, 0.25, 0.394], [0.788, 0.75, 0.606], [0.288, 0.75, 0.894], [0.187, 0.25, 0.0699], [0.468, 0.75, 0.212], [0.968, 0.75, 0.288], [0.687, 0.25, 0.43], [0.313, 0.75, 0.57], [0.0323, 0.25, 0.712], [0.532, 0.25, 0.788], [0.813, 0.75, 0.93]]","[49, 49, 49, 49, 39, 39, 39, 39, 39, 39, 39, 39]",1823285,4719174,-0.4001892216666665,0.0,12,Pnma
Y5In3,"[[-6.131614837, 6.131614837, 3.001394124], [6.131614837, -6.131614837, 3.001394124], [6.131614837, 6.131614837, -3.001394124]]","[[0.25, 0.25, 0.0], [0.75, 0.75, 0.0], [0.338, 0.838, 0.177], [0.162, 0.338, 0.5], [0.838, 0.662, 0.5], [0.662, 0.162, 0.823], [0.72, 0.417, 0.137], [0.917, 0.22, 0.137], [0.22, 0.0826, 0.302], [0.583, 0.72, 0.302], [0.75, 0.25, 0.5], [0.25, 0.75, 0.5], [0.417, 0.28, 0.698], [0.78, 0.917, 0.698], [0.0826, 0.78, 0.863], [0.28, 0.583, 0.863]]","[49, 49, 49, 49, 49, 49, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",1822569,4750479,-0.44180416437500014,0.0,16,I4/mcm
YIn3,"[[4.630803387, 0.0, 0.0], [0.0, 4.630803387, 0.0], [0.0, 0.0, 4.630357589]]","[[0.5, 0.0, 0.0834], [0.0, 0.5, 0.0834], [0.5, 0.5, 0.583], [0.0, 0.0, 0.583]]","[49, 49, 49, 39]",1990352,4994844,-0.43091377374999995,0.0,4,P4mm
YIn,"[[15.985230222, 0.0, 0.0], [0.0, 3.7324097, 0.0], [0.0, 0.0, 5.326890492]]","[[0.75, 0.0, 0.249], [0.0834, 0.0, 0.252], [0.417, 0.0, 0.252], [0.583, 0.0, 0.748], [0.917, 0.0, 0.748], [0.25, 0.0, 0.751], [0.583, 0.5, 0.249], [0.917, 0.5, 0.249], [0.25, 0.5, 0.251], [0.75, 0.5, 0.749], [0.0833, 0.5, 0.751], [0.417, 0.5, 0.751]]","[49, 49, 49, 49, 49, 49, 39, 39, 39, 39, 39, 39]",1980668,5017913,-0.5050972200000002,0.0,12,Pmma
Y,"[[3.146112609, -1.82511624, 0.0], [3.146112609, 1.82511624, 0.0], [-0.013681751, 0.0, 5.657364355]]","[[0.83, 0.83, 0.25], [0.17, 0.17, 0.75]]","[39, 39]",2015273,5094310,0.0,0.0,2,C2/m
Y,"[[3.644732975, 0.0, 0.0], [-1.822366487, 3.156431346, 0.0], [0.0, 0.0, 5.639481975]]","[[0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[39, 39]",2030142,5095092,0.0,0.0,2,P63/mmc
